Region,Subregion,Country,State/Province,Project Name,Latitude,Longitude,Location accuracy,Project_phase,Project_scale,Technology Type,Start year,Estimated_start_year,Capacity (MW),Capacity Rating,Estimated_capacity(MWdc),Estimated land area(hectares/MW),Estimated spatial footprint(m²/MW)
Europe,Western Europe,France,Auvergne-Rhône-Alpes,03_253 Domerat solar farm,46.3601,2.5369,approximate,Active,Medium,PV,2021,2021,3.9,MWac,4.875,10.96875,121875
Europe,Western Europe,France,Centre-Val de Loire,2001 Theilleysolar farm,47.3138,2.042,approximate,Active,Medium,PV,2021,2021,2.8,MWac,3.5,7.875,87500
Europe,Western Europe,France,,250 13 Maussane solar project,43.721,4.8055,approximate,Active,Medium,PV,2022,2022,7.2,MWac,9,20.25,225000
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,AO CRE4 solar farm,43.6776,4.631,approximate,Active,Medium,PV,2019,2019,4.8,MWac,6,13.5,150000
Europe,Western Europe,France,Occitanie,AR solar farm,43.8277,4.2031,approximate,Active,Medium,PV,2016,2016,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Occitanie,AU05 Nimes 3 solar farm,43.8374,4.3601,approximate,Active,Medium,PV,2019,2019,1.5,MWac,1.875,4.21875,46875
Europe,Western Europe,France,Nouvelle-Aquitaine,Aboxia Energie solar farm,43.8067,-1.1449,approximate,Active,Medium,PV,2011,2011,1.1,MWac,1.375,3.09375,34375
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Actionvest solar farm,45.6315,5.1106,approximate,Active,Medium,PV,2013,2013,3.2,MWac,4,9,100000
Europe,Western Europe,France,,Ae33 solar project,44.6884,-1.0199,approximate,Active,Medium,PV,0,2017,15.7,MWac,19.625,44.15625,490625
Europe,Western Europe,France,,Aerodrome De Munchhouse solar project,47.869,7.4518,approximate,Active,Medium,PV,0,2017,11.8,MWac,14.75,33.1875,368750
Europe,Western Europe,France,,Aerodrome De Paris-Vatry solar project,48.7479,4.1679,approximate,Active,Medium,PV,0,2017,4.6,MWac,5.75,12.9375,143750
Europe,Western Europe,France,,Afd 3 870 Scea D Arcamont solar project,43.7211,0.5797,approximate,Active,Medium,PV,0,2017,1.2,MWac,1.5,3.375,37500
Europe,Western Europe,France,Occitanie,Agde Confidentiel solar farm I,43.3135,3.4772,approximate,Active,Medium,PV,2017,2017,1.5,MWac,1.875,4.21875,46875
Europe,Western Europe,France,Occitanie,Agde Confidentiel solar farm II,43.3135,3.4772,approximate,Active,Medium,PV,2017,2017,1.4,MWac,1.75,3.9375,43750
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Agrivolt Cruas 2 solar farm,44.6571,4.7626,approximate,Active,Medium,PV,2011,2011,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Occitanie,Aigaliers Confidentiel solar farm,44.0591,4.3212,approximate,Active,Medium,PV,2015,2015,9.2,MWac,11.5,25.875,287500
Europe,Western Europe,France,Nouvelle-Aquitaine,Aiguillon Confidentiel solar farm,44.3003,0.3417,approximate,Active,Medium,PV,2011,2011,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,Nouvelle-Aquitaine,Aire-sur-l'Adour Confidentiel solar farm,43.7007,-0.2647,approximate,Active,Medium,PV,2018,2018,3,MWac,3.75,8.4375,93750
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Airefsol Energie 7 solar farm,44.724,4.9434,approximate,Active,Medium,PV,2021,2021,4,MWac,5,11.25,125000
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Aix-en-Provence Confidentiel solar farm I,43.5298,5.4475,approximate,Active,Medium,PV,2013,2013,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Aix-en-Provence Confidentiel solar farm II,43.5298,5.4475,approximate,Active,Medium,PV,2020,2020,1.4,MWac,1.75,3.9375,43750
Europe,Western Europe,France,Occitanie,Albi Confidentiel solar farm I,43.9278,2.1479,approximate,Active,Medium,PV,2010,2010,1.4,MWac,1.75,3.9375,43750
Europe,Western Europe,France,Occitanie,Albi Confidentiel solar farm II,43.9278,2.1479,approximate,Active,Medium,PV,2011,2011,1.2,MWac,1.5,3.375,37500
